kernel,amplitude,seed,dissonance,r_global
baseline,1.0,0,0.047049027592705,0.13095183670520782
baseline,1.0,1,0.045646924137018444,0.15237417817115784
baseline,1.0,2,0.04969776562804934,0.14958800375461578
baseline,2.0,0,0.07975765996493231,0.29970449209213257
baseline,2.0,1,0.07878894965976779,0.3026649057865143
baseline,2.0,2,0.08238960084231035,0.31447893381118774
baseline,3.0,0,0.1884433238359033,0.5169675946235657
baseline,3.0,1,0.20008995245001118,0.5184134244918823
baseline,3.0,2,0.16372065444155884,0.5361154079437256
baseline,4.0,0,0.2649798191272583,0.7124208807945251
baseline,4.0,1,0.19043370336752177,0.7317346930503845
baseline,4.0,2,0.22945909937730313,0.7343854904174805
baseline,5.0,0,0.09976245837626137,0.8579807877540588
baseline,5.0,1,0.06682593317151524,0.8760893940925598
baseline,5.0,2,0.09443275710780302,0.8643782734870911
baseline,6.0,0,0.04546012444307955,0.9316588044166565
baseline,6.0,1,0.015812244295334513,0.9387052655220032
baseline,6.0,2,0.027163722617496795,0.9339078068733215
baseline,8.0,0,0.0015959867120348046,0.9731128215789795
baseline,8.0,1,0.0017960963293626364,0.976286768913269
baseline,8.0,2,0.0031578111789943575,0.972785234451294
retuned,1.0,0,0.09811975033707794,0.137764111161232
retuned,1.0,1,0.12478395913836854,0.16353236138820648
retuned,1.0,2,0.09075674880587074,0.15093201398849487
retuned,2.0,0,0.1115843422953683,0.2931944727897644
retuned,2.0,1,0.1438551522521674,0.3078455626964569
retuned,2.0,2,0.13907981390748383,0.3013325035572052
retuned,3.0,0,0.26327147066062884,0.5276015996932983
retuned,3.0,1,0.23941991116788322,0.5299991965293884
retuned,3.0,2,0.19091645809696314,0.5399430990219116
retuned,4.0,0,0.2295840880825004,0.7967091798782349
retuned,4.0,1,0.20421765170102565,0.8173324465751648
retuned,4.0,2,0.25578854429080816,0.8176803588867188
retuned,5.0,0,0.01670297052593567,0.9276760220527649
retuned,5.0,1,0.017408342291307482,0.9344152212142944
retuned,5.0,2,0.023775712516680196,0.934485137462616
retuned,6.0,0,0.0022516750926893005,0.9633681774139404
retuned,6.0,1,0.0024101211053495063,0.9681448340415955
retuned,6.0,2,0.004401754866758082,0.9632591009140015
retuned,8.0,0,0.0015719612875819383,0.9812289476394653
retuned,8.0,1,0.00179130206999063,0.9835110902786255
retuned,8.0,2,0.00329497364703017,0.9817681312561035
5meo_plate,1.0,0,0.050887926088153526,0.15190531313419342
5meo_plate,1.0,1,0.043459629564322526,0.16479375958442688
5meo_plate,1.0,2,0.05763931302484044,0.1578424870967865
5meo_plate,2.0,0,0.08594284026033108,0.31317874789237976
5meo_plate,2.0,1,0.09217942054567589,0.32191023230552673
5meo_plate,2.0,2,0.08459195530237852,0.3283386528491974
5meo_plate,3.0,0,0.2297951162806943,0.5418941974639893
5meo_plate,3.0,1,0.2154645418289598,0.5382018089294434
5meo_plate,3.0,2,0.20270446875553916,0.555334210395813
5meo_plate,4.0,0,0.14937590037752208,0.7421148419380188
5meo_plate,4.0,1,0.1847880534142788,0.7464891672134399
5meo_plate,4.0,2,0.2173217776267301,0.7631585597991943
5meo_plate,5.0,0,0.09099085838014286,0.8760496377944946
5meo_plate,5.0,1,0.057849312464653975,0.8924674391746521
5meo_plate,5.0,2,0.07225200964815401,0.8875605463981628
5meo_plate,6.0,0,0.008665681386354698,0.9405038356781006
5meo_plate,6.0,1,0.014779076173324687,0.9480934739112854
5meo_plate,6.0,2,0.026353729929910308,0.9428092241287231
5meo_plate,8.0,0,0.0016583154592250057,0.9755257964134216
5meo_plate,8.0,1,0.0018417184208864195,0.9783313870429993
5meo_plate,8.0,2,0.003215166495256669,0.9756791591644287
mexican_hat,1.0,0,0.011125955218469243,0.10953303426504135
mexican_hat,1.0,1,0.00875229836137661,0.11251924186944962
mexican_hat,1.0,2,0.009192677650708721,0.11048262566328049
mexican_hat,2.0,0,0.03582400782811709,0.22283321619033813
mexican_hat,2.0,1,0.04277501622186316,0.22639508545398712
mexican_hat,2.0,2,0.03469979026601184,0.2359321266412735
mexican_hat,3.0,0,0.08005757190203892,0.3515661656856537
mexican_hat,3.0,1,0.08036267396833686,0.35498031973838806
mexican_hat,3.0,2,0.0833122840611499,0.36224886775016785
mexican_hat,4.0,0,0.11066670866824396,0.4736148416996002
mexican_hat,4.0,1,0.07228706166459922,0.477433443069458
mexican_hat,4.0,2,0.11102179769422098,0.4850762188434601
mexican_hat,5.0,0,0.1261337524881094,0.5860636830329895
mexican_hat,5.0,1,0.12216816234513123,0.5903159976005554
mexican_hat,5.0,2,0.10457782403111286,0.5946477055549622
mexican_hat,6.0,0,0.1069382050613383,0.6863049864768982
mexican_hat,6.0,1,0.09031923160135506,0.6899729371070862
mexican_hat,6.0,2,0.10281747629895842,0.6946386098861694
mexican_hat,8.0,0,0.062126018010217894,0.8346760869026184
mexican_hat,8.0,1,0.052366407925068144,0.8488522171974182
mexican_hat,8.0,2,0.07094494409992236,0.8472486138343811
flat,1.0,0,0.2826220228179513,0.23596923053264618
flat,1.0,1,0.31251488289091073,0.22391332685947418
flat,1.0,2,0.39903046252554575,0.23759254813194275
flat,2.0,0,0.21917439097135435,0.3871555030345917
flat,2.0,1,0.25191485642062855,0.40112385153770447
flat,2.0,2,0.23589050178393647,0.32437801361083984
flat,3.0,0,0.259294006461861,0.5386737585067749
flat,3.0,1,0.2548449314124983,0.5612965226173401
flat,3.0,2,0.23827535267721395,0.5721442699432373
flat,4.0,0,0.1403801716868414,0.8698554635047913
flat,4.0,1,0.1282262920766664,0.8978546261787415
flat,4.0,2,0.10571479215189286,0.8890200257301331
flat,5.0,0,0.005381284296317036,0.959119439125061
flat,5.0,1,0.006649886321236159,0.9631693959236145
flat,5.0,2,0.02504846483091663,0.9586868286132812
flat,6.0,0,0.0020339048407633435,0.9745112061500549
flat,6.0,1,0.0022140751747410418,0.9772746562957764
flat,6.0,2,0.003785650999166852,0.974809467792511
flat,8.0,0,0.0014943650515825717,0.9853047728538513
flat,8.0,1,0.0016803318419454992,0.9868757128715515
flat,8.0,2,0.0032710307346945047,0.9855970144271851
