sigma_factor,seed,dissonance,r_global,freq_spread_hz
0.1,0,0.1018949422657802,0.8932092189788818,0.0022679533842012733
0.1,1,0.06661908659898204,0.8911714553833008,0.0015436484327322735
0.1,2,0.13084931295612126,0.9072612524032593,0.003040087520130277
0.25,0,0.180378863860056,0.843978226184845,0.004784334159188087
0.25,1,0.08972314206727833,0.8496779799461365,0.001821268102485779
0.25,2,0.18724131359155122,0.8582526445388794,0.004824763271906782
0.5,0,0.2349022291974266,0.7854254245758057,0.008862137621153008
0.5,1,0.12646969328303248,0.7914927005767822,0.0031242412348443565
0.5,2,0.24229635540403965,0.8034619092941284,0.008551914642370137
0.75,0,0.20738878473551273,0.7397251129150391,0.007659328937571401
0.75,1,0.1824294765966921,0.7606363892555237,0.006418353495008276
0.75,2,0.21222328632927978,0.7662866115570068,0.006792246123966719
1.0,0,0.2649798191272583,0.7124208807945251,0.013672126885874282
1.0,1,0.19043370336752177,0.7317346930503845,0.0060179119968062095
1.0,2,0.22945909937730313,0.7343854904174805,0.010566469427680972
