condition,seed,D_pre,D_during,D_post,delta_D,relative_change,latency_to_half_s,r_global_pre,r_global_during
none,0,0.29281660264765064,0.2846501005958605,0.2732005249611436,-0.008166502051790148,-0.027889477502124383,nan,0.7112583432878766,0.709753536042713
none,1,0.27827357877773556,0.26011263318505096,0.2754565353645352,-0.018160945592684608,-0.06526291742267862,nan,0.7311674739633288,0.730556343282972
none,2,0.25432023966691303,0.27962590505647705,0.25216808553968195,0.025305665389564025,0.0995031517063181,nan,0.7334094899041312,0.7345895369847616
DMT (transient Mexican-hat),0,0.29286853972025984,0.1393150286236449,0.2864510812524641,-0.15355351109661494,-0.5243086582235331,2.5,0.70938327057021,0.47770904643195017
DMT (transient Mexican-hat),1,0.27387546697380377,0.1253914613870223,0.27005425411990724,-0.14848400558678146,-0.5421588403936304,1.5,0.7291161588260106,0.48163500002452303
DMT (transient Mexican-hat),2,0.25473848902496804,0.1332367230144288,0.27868015404903523,-0.12150176601053925,-0.47696665892773793,2.0,0.7315828715051923,0.4895359334491548
5-MeO (transient uniform-positive),0,0.2931109376171636,0.2707927748392559,0.28723739083387656,-0.022318162777907713,-0.07614237448572385,nan,0.7115059878144946,0.7437227339971633
5-MeO (transient uniform-positive),1,0.2775859225549336,0.2680056358119288,0.2649639252633825,-0.009580286743004762,-0.03451286958224204,nan,0.7313507837908608,0.7452289632388523
5-MeO (transient uniform-positive),2,0.2543434076280971,0.26915516723762256,0.26374043306666206,0.014811759609525466,0.05823528019717081,nan,0.733625169311251,0.7640419403711954
oxygen (sigma_omega x0.25),0,0.2928023949951382,0.28496993145048116,0.2922220170519908,-0.007832463544657053,-0.02674999821906206,nan,0.7118738549096244,0.8453925422259739
oxygen (sigma_omega x0.25),1,0.27540062042400876,0.21212814699661178,0.2297169341795616,-0.06327247342739697,-0.22974702573284775,4.5,0.7316095701285771,0.8440245134489877
oxygen (sigma_omega x0.25),2,0.2539570491164203,0.2688635047147147,0.25448609243154724,0.0149064555982944,0.05869675856668544,nan,0.7338761900152478,0.859786141486395
sumatriptan (peripheral gain x0.4),0,0.2919973746993145,0.24168815524709292,0.243302056530424,-0.05030921945222161,-0.17229339648696407,nan,0.7111616602965763,0.7121520411400568
sumatriptan (peripheral gain x0.4),1,0.2793195835166011,0.23992067954846544,0.22547202609768227,-0.03939890396813564,-0.14105313874561898,nan,0.7310684025287628,0.7327413189978826
sumatriptan (peripheral gain x0.4),2,0.2543450614452369,0.2343063498125363,0.22956345567962455,-0.020038711632700573,-0.07878553457588998,nan,0.7333295175007412,0.7335820680572873
