stack,entrain_amplitude,seed,dissonance,d_roughness,d_inharmonic,r_global,fragmentation,harmonic_purity
none,0.0,0,0.22859432233701235,0.22859432233701235,0.005513497239577408,0.7096337676048279,0.028573211884841965,0.796919918946212
none,0.0,1,0.18493344710225032,0.18493344710225032,0.002142803154422054,0.731227695941925,0.020755790387018802,0.7998574482743863
none,0.0,2,0.2038667049181759,0.2038667049181759,0.0030902696405775217,0.7338409423828125,0.017236636464272093,0.8472915505521389
harmonic,0.0,0,0.22616729703308058,0.22616729703308058,0.005126236165873431,0.7086048126220703,0.02821597623940475,0.795933202160438
harmonic,0.0,1,0.1716381714743142,0.1716381714743142,0.0017350084538980248,0.7315008640289307,0.02054543431784206,0.8004283913169385
harmonic,0.0,2,0.19531013965942703,0.19531013965942703,0.002469847776353046,0.7334761619567871,0.016785559447349052,0.8483789421531529
harmonic,1.0,0,0.2246277797007524,0.2246277797007524,0.005035420734810372,0.7091631293296814,0.028130287949008737,0.7960566527162461
harmonic,1.0,1,0.1868069820362786,0.1868069820362786,0.0021690193008424953,0.7303866744041443,0.021100209599100417,0.7981891338106188
harmonic,1.0,2,0.2240167719427547,0.2240167719427547,0.003981798196359772,0.7328382730484009,0.017843452959258488,0.8462386081896707
harmonic,2.0,0,0.22269058965047797,0.22269058965047797,0.0054769337529134285,0.7085674405097961,0.028266262943152154,0.7956995645475688
harmonic,2.0,1,0.17289340111665114,0.17289340111665114,0.0017236222558271814,0.7319723963737488,0.02055105711332106,0.8001017762358235
harmonic,2.0,2,0.22573201008268526,0.22573201008268526,0.004692814527572792,0.7321070432662964,0.017750691896216586,0.844043049543632
harmonic,4.0,0,0.22923128009522392,0.22923128009522392,0.004571286209601869,0.70674067735672,0.0288418521842273,0.797241110110385
harmonic,4.0,1,0.1835694325218042,0.1835694325218042,0.0020091976727594136,0.7317120432853699,0.021263970548948796,0.7989028922377194
harmonic,4.0,2,0.22834603339211454,0.22834603339211454,0.007125597104321424,0.7300282716751099,0.019913717592110358,0.8426556014631972
harmonic,8.0,0,0.2644724669736356,0.2644724669736356,0.008866497510416306,0.6934195756912231,0.031682860402195145,0.7875495506345627
harmonic,8.0,1,0.23961108567344874,0.23961108567344874,0.004477347181427427,0.7271857857704163,0.024316257737485802,0.8003520817179238
harmonic,8.0,2,0.3352006558998761,0.3352006558998761,0.03658195061544902,0.7177307605743408,0.02725047934784175,0.8335237583194448
dissonant,0.0,0,0.22616729703308058,0.22616729703308058,0.005126236165873431,0.7086048126220703,0.02821597623940475,0.795933202160438
dissonant,0.0,1,0.1716381714743142,0.1716381714743142,0.0017350084538980248,0.7315008640289307,0.02054543431784206,0.8004283913169385
dissonant,0.0,2,0.19531013965942703,0.19531013965942703,0.002469847776353046,0.7334761619567871,0.016785559447349052,0.8483789421531529
dissonant,1.0,0,0.2193758486691423,0.2193758486691423,0.004907492148278958,0.7094383239746094,0.02843308875127548,0.7961840258121965
dissonant,1.0,1,0.19340343304873184,0.19340343304873184,0.002462196136187438,0.7309383153915405,0.02150897547206987,0.7993107356630533
dissonant,1.0,2,0.21883520933248113,0.21883520933248113,0.003866429337321776,0.7332120537757874,0.017753217541593647,0.8467622693499768
dissonant,2.0,0,0.23229187928874534,0.23229187928874534,0.004977562641565307,0.707298755645752,0.02924534937611134,0.7949128530107692
dissonant,2.0,1,0.18835199817739748,0.18835199817739748,0.0020987089999445216,0.7314792275428772,0.021156055822857622,0.8009808584779288
dissonant,2.0,2,0.2296710578752845,0.2296710578752845,0.004778825972264959,0.7322131991386414,0.018356389734865863,0.8449114347702144
dissonant,4.0,0,0.2360196908825273,0.2360196908825273,0.005243716343345601,0.7067679166793823,0.02830418411941993,0.7946481779831945
dissonant,4.0,1,0.16728311148132985,0.16728311148132985,0.0017562691800088312,0.7304767966270447,0.021168359952269955,0.7996959431087186
dissonant,4.0,2,0.229698084665037,0.229698084665037,0.0062287917326587705,0.7288715839385986,0.019493276937859627,0.8427364174697209
dissonant,8.0,0,0.2523941041828311,0.2523941041828311,0.00791337234747493,0.6983413100242615,0.03152464660982357,0.7887915880477332
dissonant,8.0,1,0.20350375260924106,0.20350375260924106,0.002734608480947427,0.7302415370941162,0.023195347486633877,0.8028562614081481
dissonant,8.0,2,0.3276433773639083,0.3276433773639083,0.03638531112201086,0.7140553593635559,0.02829094261461096,0.8316249075375589
inharmonic,0.0,0,0.22616729703308058,0.22616729703308058,0.005126236165873431,0.7086048126220703,0.02821597623940475,0.795933202160438
inharmonic,0.0,1,0.1716381714743142,0.1716381714743142,0.0017350084538980248,0.7315008640289307,0.02054543431784206,0.8004283913169385
inharmonic,0.0,2,0.19531013965942703,0.19531013965942703,0.002469847776353046,0.7334761619567871,0.016785559447349052,0.8483789421531529
inharmonic,1.0,0,0.22043783613181983,0.22043783613181983,0.005956826225135583,0.7098047137260437,0.028118774336737817,0.7987560204285503
inharmonic,1.0,1,0.1973604456772347,0.1973604456772347,0.0029201261175231356,0.7312759160995483,0.020873272103816287,0.8018094995496271
inharmonic,1.0,2,0.20791765407041835,0.20791765407041835,0.0036345780023105245,0.7345540523529053,0.017012467620397542,0.8492389097860278
inharmonic,2.0,0,0.2135234913264535,0.2135234913264535,0.004843349763596776,0.7095365524291992,0.028179442420627532,0.7970252549026428
inharmonic,2.0,1,0.16725304766878196,0.16725304766878196,0.001560448742919539,0.7327741980552673,0.020274339389003138,0.8023239659301317
inharmonic,2.0,2,0.20614122484279604,0.20614122484279604,0.003830042133476968,0.7334008812904358,0.01727168174800886,0.8460370023317638
inharmonic,4.0,0,0.24766053611003588,0.24766053611003588,0.007886233867282742,0.7111535668373108,0.02952925066278822,0.7976179344470106
inharmonic,4.0,1,0.19402149796083826,0.19402149796083826,0.0023545102340443865,0.7328643798828125,0.022052386516358657,0.8012046178843504
inharmonic,4.0,2,0.2190693282563721,0.2190693282563721,0.0041415948505228615,0.7348995804786682,0.018091695405985986,0.8472946745540244
inharmonic,8.0,0,0.24636678255907052,0.24636678255907052,0.007056030979725224,0.7169124484062195,0.030136602418105007,0.8012766620193726
inharmonic,8.0,1,0.197880121453006,0.197880121453006,0.0025141990689847805,0.7391542196273804,0.02678147667932762,0.8037930650558316
inharmonic,8.0,2,0.2341370720192847,0.2341370720192847,0.005960227015543702,0.7393919229507446,0.020368325975579582,0.8492163096669055
