arm,sigma_noise,amplitude,seed,dissonance,d_roughness,d_inharmonic,lz_normalised,zlib_ratio,spectral_entropy,r_global,coherence_weight
noise,0.0,0.0,0,0.031441276746794936,0.031441276746794936,0.03081327621372216,0.27553763440860213,0.419677734375,0.3312360942363739,0.06339588761329651,0.05529317284187709
noise,0.0,0.0,1,0.028444872057032753,0.028444872057032753,0.014018977882000731,0.2425055928411633,0.378173828125,0.37480399012565613,0.07474670559167862,0.05096130610193914
noise,0.0,0.0,2,0.034857789826649034,0.034857789826649034,0.027999417472295795,0.2658623771224307,0.41064453125,0.32650917768478394,0.06379464268684387,0.05239897122630788
noise,0.05,0.0,0,0.03152678172515373,0.03152678172515373,0.028637095769966543,0.2634649910233393,0.41357421875,0.3503563702106476,0.06987777352333069,0.05443950936558096
noise,0.05,0.0,1,0.02851326940038437,0.02851326940038437,0.016074837047529083,0.23958799820868787,0.37646484375,0.3775889277458191,0.0655454620718956,0.048409823438930986
noise,0.05,0.0,2,0.03461501353136699,0.03461501353136699,0.02681969345468396,0.26723366159355416,0.410400390625,0.2951623797416687,0.06290176510810852,0.05351083997101925
noise,0.15,0.0,0,0.029417237336866138,0.029011056086616673,0.029417237336866138,0.28609986504723345,0.432861328125,0.3253591060638428,0.05599464476108551,0.05302631817205526
noise,0.15,0.0,1,0.029270372979183678,0.029270372979183678,0.01715761393181383,0.254586129753915,0.39306640625,0.36895275115966797,0.05710534751415253,0.05011571952641137
noise,0.15,0.0,2,0.03702828742290067,0.03702828742290067,0.025662091612616494,0.2772543741588156,0.416015625,0.3379133939743042,0.05894523113965988,0.05564206898632344
noise,0.3,0.0,0,0.03342051373583772,0.03342051373583772,0.027372453677385295,0.3158366980708838,0.459228515625,0.377357542514801,0.06248459219932556,0.055890209770722975
noise,0.3,0.0,1,0.03567923301704432,0.03567923301704432,0.022193915619890158,0.29388119696292986,0.4326171875,0.35619378089904785,0.05291203409433365,0.05476382664105133
noise,0.3,0.0,2,0.032275096411097784,0.032275096411097784,0.027784058666799546,0.30662488809310656,0.444580078125,0.3963446021080017,0.061450161039829254,0.050536974418531874
noise,0.6,0.0,0,0.03170634880152241,0.03170634880152241,0.018065285786294943,0.3708016121809225,0.514892578125,0.37680667638778687,0.05258191004395485,0.05090203623035197
noise,0.6,0.0,1,0.039171129272946824,0.039171129272946824,0.01869011149946202,0.35257270693512305,0.493408203125,0.41670548915863037,0.05535251647233963,0.06108396244183389
noise,0.6,0.0,2,0.0306948839138887,0.0306948839138887,0.023328377161803936,0.36872759856630827,0.515625,0.39754819869995117,0.052843887358903885,0.04618851237428267
noise,1.0,0.0,0,0.03107709438132392,0.03107709438132392,0.024968409677868307,0.4462921348314607,0.584228515625,0.4142149090766907,0.05743633583188057,0.049430403019678354
noise,1.0,0.0,1,0.0318720009437654,0.0318720009437654,0.01704633358993059,0.41841752346893163,0.561767578125,0.4252803325653076,0.046540118753910065,0.04751658651293269
noise,1.0,0.0,2,0.023265453193966758,0.023265453193966758,0.023100420809294333,0.434257602862254,0.58154296875,0.44915613532066345,0.04406031221151352,0.04156207523148214
noise,1.8,0.0,0,0.022190768215901616,0.022190768215901616,0.018494411088339123,0.5572005383580081,0.679931640625,0.4695504307746887,0.04406530410051346,0.03624630141523044
noise,1.8,0.0,1,0.01868676644550058,0.01868676644550058,0.015820771423913683,0.5430879712746858,0.675537109375,0.4970932900905609,0.04652119427919388,0.02962788723230683
noise,1.8,0.0,2,0.023974115045249367,0.023974115045249367,0.021164673498142838,0.5542114695340502,0.676513671875,0.4909471571445465,0.04079195111989975,0.03804479782792659
noise,3.0,0.0,0,0.015351254577521053,0.011623537657249937,0.015351254577521053,0.6932021466905188,0.787841796875,0.6455019116401672,0.03964932635426521,0.022916517037232288
noise,3.0,0.0,1,0.014479771291544485,0.01020157232563921,0.014479771291544485,0.6982062780269058,0.787109375,0.6642673015594482,0.03682456910610199,0.022650748330260165
noise,3.0,0.0,2,0.014172372619650016,0.011107181943728945,0.014172372619650016,0.7018493459630131,0.789306640625,0.5973652601242065,0.04281454533338547,0.02241187064102779
drive,0.05,0.0,0,0.03152678172515373,0.03152678172515373,0.028637095769966543,0.2634649910233393,0.41357421875,0.3503563702106476,0.06987777352333069,0.05443950936558096
drive,0.05,0.0,1,0.02851326940038437,0.02851326940038437,0.016074837047529083,0.23958799820868787,0.37646484375,0.3775889277458191,0.0655454620718956,0.048409823438930986
drive,0.05,0.0,2,0.03461501353136699,0.03461501353136699,0.02681969345468396,0.26723366159355416,0.410400390625,0.2951623797416687,0.06290176510810852,0.05351083997101925
drive,0.05,2.0,0,0.07975765996493231,0.07385545229685447,0.07975765996493231,0.3297394429469901,0.478271484375,0.06565023213624954,0.29970449209213257,0.13636763555490175
drive,0.05,2.0,1,0.07878894965976779,0.07878894965976779,0.07093477728955047,0.3137078651685393,0.461181640625,0.053986698389053345,0.3026649057865143,0.13217968114685802
drive,0.05,2.0,2,0.08238960084231035,0.07492385145724548,0.08238960084231035,0.3185483870967742,0.46044921875,0.04548395797610283,0.31447893381118774,0.14352770403379525
drive,0.05,3.0,0,0.1884433238359033,0.1884433238359033,0.05748649700506892,0.29064039408866993,0.427490234375,0.037340279668569565,0.5169675946235657,0.30957674972740484
drive,0.05,3.0,1,0.20008995245001118,0.20008995245001118,0.022961766462196418,0.29511867442901923,0.43212890625,0.04008960351347923,0.5184134244918823,0.3042708931928467
drive,0.05,3.0,2,0.16372065444155884,0.16372065444155884,0.04429420676378542,0.2994604316546763,0.435302734375,0.04080568253993988,0.5361154079437256,0.32619529234081207
drive,0.05,4.0,0,0.2649798191272583,0.2649798191272583,0.011567096079897131,0.21470192738682206,0.3125,0.03577759116888046,0.7124208807945251,0.5471378554553693
drive,0.05,4.0,1,0.19043370336752177,0.19043370336752177,0.0021817720623216103,0.20842671447781264,0.307373046875,0.03516474738717079,0.7317346930503845,0.5656995141764567
drive,0.05,4.0,2,0.22945909937730313,0.22945909937730313,0.005773642396178248,0.21521837010355696,0.32080078125,0.03494399040937424,0.7343854904174805,0.5642540138386973
